@RELATION user-item

@ATTRIBUTE user STRING
@ATTRIBUTE item STRING
@ATTRIBUTE rating NUMERIC


@DATA
539,78361807,3
157,5953902,3
33,1481358,1
379,16329637,1
539,16762601,3
655,65007713,3
539,61449519,3
537,70743428,1
157,69121790,3
539,80788398,2
379,62329923,1
33,66985565,2
157,4729155,3
655,74571723,1
537,70077941,1
157,65802069,1
379,13526995,1
655,14320658,2
157,70045109,3
537,64322720,2
655,74041643,1
33,15661190,1
157,74984635,1
655,18161074,3
379,1481358,1
539,74215323,2
655,73203277,2
157,1730398,1
539,78436103,4
379,16256608,2
655,79297993,1
539,2560749,3
157,14047278,2
539,14320658,3
33,65991636,1
539,4119245,2
655,5775938,1
379,72325972,3
539,4566336,2
655,75419623,2
157,1103326,2
537,66295263,1
157,68058194,1
33,16347072,2
539,56047801,2
655,88519867,2
157,89056103,1
539,24403451,1
655,5953902,1
539,66268564,2
379,71655629,1
379,64516028,2
33,71051592,3
379,70625832,1
379,4250024,1
157,73626918,1
379,12561291,1
539,1674626,2
539,14147479,3
379,7235600,2
157,11517123,2
539,70083584,3
157,67204737,3
701,16053451,2
539,15232718,2
539,4157260,4
157,71578197,3
655,81956284,1
701,73691383,2
539,8046663,2
379,71142799,1
539,15597432,3
701,6862149,3
33,88304149,2
157,62019639,1
701,37563911,4
655,95955228,2
539,2481288,1
701,72269660,3
157,5832569,3
655,71173042,1
379,64169643,1
539,69292911,2
701,84063179,3
157,3473230,3
539,6240693,2
33,9883417,2
655,3369711,3
379,74911301,3
157,64550046,2
655,72269660,3
701,24403451,2
379,15036397,3
33,85205712,3
550,16162722,1
701,74411753,3
655,94073932,2
157,16103952,1
655,85324704,2
539,15864476,3
701,84592297,1
539,78426407,2
655,772894,2
539,2586286,3
701,75372277,1
539,1125208,2
539,10659848,2
550,14245093,2
655,10353921,2
539,10752377,2
379,67810265,3
550,68071549,1
157,69614247,3
33,62264016,1
550,88593241,1
655,78758277,1
539,74805689,2
701,6422598,2
157,7444285,2
379,82550184,1
550,6739525,1
701,2926402,3
539,89850847,3
550,11643845,1
157,13259634,1
701,65802069,3
33,78671626,1
539,66241687,3
379,22549011,1
701,4701067,1
157,46183361,2
379,78171374,1
701,78852759,3
33,10466925,1
157,78426407,1
379,78041957,1
550,91145851,2
701,70870518,1
550,71579567,1
655,4096104,2
701,78468571,4
157,80593378,3
539,23372091,3
537,5726259,1
701,16744376,4
539,67751351,3
157,79535742,1
33,75479128,1
701,4313595,4
539,46219471,2
655,82264336,1
786,16435287,2
157,56047801,3
539,69614247,2
539,3513394,2
655,62264016,2
379,89160781,4
157,71430746,3
539,77705560,2
786,66181073,3
539,56930031,2
379,15493514,2
701,15825404,2
655,66237014,4
539,11790246,2
539,91236046,2
379,75764632,1
157,3648429,1
701,82138970,3
550,11689986,1
379,74879737,1
157,1400070,1
539,91091131,1
701,82900774,4
379,9100736,2
786,62019639,1
550,10524260,1
157,75575521,2
655,76993066,2
701,36995311,2
550,73561246,2
157,66107883,3
701,78580184,4
550,87623241,1
655,77682184,3
786,15100914,1
539,13123158,3
157,76455055,1
701,73638064,2
550,8647650,1
539,8642307,2
157,72032570,2
539,8458109,3
655,11689986,1
379,70151784,3
550,53801451,1
701,3407958,1
655,62652749,4
539,94636848,3
157,11640186,3
701,91940648,4
655,16347072,2
33,36012181,1
539,14440304,2
786,13176911,2
539,75249221,2
550,17605922,1
655,76503289,2
539,87926321,3
701,56552931,1
157,2555176,2
379,89978661,1
701,13070544,4
550,88026203,1
379,87623241,1
539,2957577,2
701,70761560,3
157,89184603,3
33,72135139,3
539,90984519,4
539,49553651,3
157,23724351,3
701,65018773,1
379,73246025,3
550,74457421,3
550,78446434,3
701,65391788,3
379,5384567,1
157,71615450,2
786,98104668,2
550,65483312,1
786,91145851,1
701,5673785,3
157,39955981,3
379,56050751,1
701,936457,2
157,66685987,1
33,70151784,1
379,9240886,2
550,86452109,2
701,10752377,2
157,9566254,3
550,14147479,1
786,67540709,2
157,77052505,3
379,37260501,2
701,12985555,1
550,14603033,1
701,5479603,3
550,92169736,1
157,3407958,1
33,4678105,1
786,80619478,3
379,74625078,1
701,18167172,1
157,91108501,3
550,63720689,1
157,23190261,1
550,89071893,3
701,77664234,2
550,73357729,3
157,31102171,3
701,2030307,3
786,61107680,3
157,66237014,3
379,62297140,1
379,73561246,1
379,82445156,3
701,75696425,2
157,15676309,3
33,16033869,3
701,67619943,2
379,9566254,2
157,6422598,1
33,9566254,3
701,78236344,2
550,77603443,1
701,67199484,4
550,11521425,1
379,92169672,1
701,8046663,2
379,63992344,1
701,73203277,3
550,7925568,1
537,87226779,2
379,8647650,1
550,774905,2
701,69292911,2
550,74738131,2
786,7444285,1
550,43865151,2
701,83888799,3
33,7107386,1
379,72581182,2
550,81246014,3
701,12697219,1
786,2287585,4
550,7682490,2
701,12668977,1
550,74035232,1
786,77052505,4
537,64104781,2
550,77052505,2
379,66893259,2
33,68267799,2
157,4517211,2
550,73853929,1
537,4096104,1
379,74396670,1
786,4156841,3
550,9240886,2
537,15123380,1
157,89623327,2
33,15080702,1
157,7561859,1
379,89623327,3
550,13779595,1
786,29946871,1
701,21926661,1
157,71242791,3
701,85017611,4
379,65850520,2
550,71938672,1
701,5600091,2
537,36995311,1
379,15597432,2
550,16082575,2
33,13148373,4
701,76570826,2
550,14440304,2
157,29177071,3
786,3464299,3
701,17801250,2
537,67785320,1
379,94073932,2
157,84768993,3
550,89911461,1
379,94636848,1
157,65845323,1
550,61210275,2
379,75479128,1
701,16329637,1
537,9420701,2
786,68670357,3
550,936457,1
701,14954817,2
157,73994908,1
33,74066212,2
379,71100142,3
550,74330740,2
550,69292911,2
157,36995311,1
537,71418484,2
701,60850009,1
550,74805689,1
157,62228580,3
379,81539762,1
550,68068261,1
701,17605922,2
379,66761683,1
157,67758791,1
33,80788398,1
701,71603224,4
157,77960617,3
379,66947315,1
537,5775938,1
157,72541825,2
379,70405744,1
701,69121790,2
157,4967715,3
701,76310214,3
786,46725701,2
379,92125584,1
33,1589044,2
157,69562013,2
379,6862149,1
701,67346349,4
157,78446434,3
701,78426407,2
33,17950794,1
786,65954048,3
157,2410091,3
701,67204737,2
379,15409904,1
550,74476228,1
701,1926589,2
33,8629910,2
157,2057449,1
550,89216421,1
379,72783014,2
157,63336157,2
550,15123380,1
379,52503871,2
701,91108501,3
157,52147611,3
550,72033090,1
33,71938672,1
379,66107883,3
701,65989449,2
157,60797755,3
550,15100914,2
379,6250190,1
550,90988663,1
157,64230569,3
550,76401318,1
379,5953902,2
33,2557026,3
379,12697219,1
157,60850009,2
550,13176911,1
157,91415418,1
537,6422598,1
379,82938704,2
786,71051592,2
537,85051554,1
157,1243656,3
550,79032380,1
379,81246014,2
379,83355578,1
537,72033090,1
701,17489120,3
157,81508148,3
550,15676309,1
786,73009950,4
33,6495689,1
157,76503289,1
379,84039329,2
712,1400070,2
701,64169643,2
537,8647650,2
379,74250587,1
550,73626918,1
786,73214241,4
379,70312948,1
712,14538246,2
550,7695006,1
379,70744165,1
537,2405183,4
550,93868746,2
712,69180862,2
33,70555369,2
786,15735462,1
550,4250024,1
379,60797755,4
550,75943787,2
550,62264016,1
379,69035594,1
786,66107883,1
537,69292911,1
537,74330740,1
712,65081458,2
157,62343841,2
379,9391101,2
33,2481288,1
550,71100142,1
537,86514651,1
550,13148373,1
157,65850390,2
786,72269660,3
550,9159424,2
537,12985555,1
379,82027610,2
157,72070691,1
550,66947315,1
379,88593241,1
786,70151283,1
33,65483312,2
379,78368276,1
33,49553651,1
157,69818709,2
712,75997659,2
550,72996973,1
379,1209016,1
537,72071167,1
157,4403979,1
379,86744433,1
550,1863914,1
786,72549866,3
550,12280130,1
157,10466925,2
712,74326190,2
379,12547602,2
550,11421822,1
33,64962419,2
379,16103952,1
550,77787512,1
786,73854012,3
157,91503926,1
379,10258708,1
550,78361807,2
786,66947315,3
712,79177655,2
157,74066212,2
379,72277601,3
33,6991004,1
550,63610804,1
157,8431767,2
712,23190261,2
537,6914695,1
379,65117707,1
550,60850009,3
550,72135139,1
550,8750746,2
33,3473230,2
550,82900774,2
712,90146311,2
537,13471586,3
550,14320658,1
550,77023726,1
537,70625832,1
33,34321711,3
550,7235600,1
786,61220152,1
550,72032570,1
550,64322720,1
786,1863914,1
537,4250024,2
33,67755007,1
537,5563439,3
786,63720689,3
550,75735062,2
712,72541825,2
33,78405037,3
537,12123622,1
157,47057261,1
550,70292834,2
510,25580011,1
786,75296739,1
537,16287865,1
550,18054075,1
786,43957041,4
550,78695208,1
510,65081458,2
786,17489120,3
537,37260501,1
550,67976638,2
33,77329649,2
510,33456271,2
550,70083584,2
712,71358064,2
786,71752391,4
550,2586286,1
550,60797755,2
33,86262325,2
550,16960561,1
550,65155203,2
510,50929511,3
537,14556837,2
550,6154428,2
510,66676859,1
550,91091131,1
537,1103326,1
786,73378305,2
712,2840362,2
550,70761560,1
510,62264016,1
510,77158575,3
786,74770835,3
462,67093926,2
33,15825404,1
786,74709640,2
510,12697219,1
712,89216421,2
510,92129718,1
462,89216421,1
33,65117707,1
510,75710556,1
712,8966603,2
510,67346349,1
462,64766302,2
786,46219471,2
510,71539796,2
786,62297140,1
510,68965877,1
462,74250587,3
492,71152082,1
712,14218071,2
786,87360055,3
510,17964785,4
786,79318731,3
522,5344097,2
510,4841406,3
712,3369711,2
786,71560165,2
522,69946823,1
462,11335416,2
492,25580011,2
510,71379069,1
522,66685987,2
786,2484112,3
522,73246025,2
33,76423928,2
510,68091989,1
33,4096104,3
522,72269660,2
510,82548950,1
786,5632174,2
522,62742762,3
462,8818789,2
510,1869815,3
492,62945228,1
712,98104668,3
786,14229391,3
33,93868746,3
522,89414147,3
510,29056981,3
712,74396670,2
534,65503200,2
462,91236046,2
712,69990343,2
534,2970306,1
33,60835820,1
786,88519867,3
522,18167172,2
534,14201087,3
712,62652749,2
522,891436,2
786,61776943,4
510,89106253,1
522,68220174,2
534,69237717,3
510,8028053,1
33,79535742,2
534,33456271,3
462,78671626,3
510,68071549,1
534,33357171,3
510,5832569,2
522,74476228,3
510,8458109,1
786,6081186,3
522,76551964,2
534,73933929,3
510,2995148,3
522,4257083,2
522,81246014,1
786,9103959,3
522,71539796,1
33,12220488,1
522,76455835,1
534,91917646,1
712,8192953,2
510,59858331,1
522,78533863,2
33,70586395,3
510,12985555,2
712,72996973,2
522,71972153,2
522,74710553,1
786,60835820,1
534,62392492,2
510,17605922,3
492,11435612,2
522,8247183,3
486,64516028,1
510,73854012,1
33,4403979,2
786,16960561,2
712,81863242,2
486,7561859,1
522,1400070,1
786,55954551,2
522,89160781,3
510,66293468,3
534,21926661,1
486,46822571,2
534,17950794,1
33,65292429,2
492,4343780,3
522,64962419,1
510,73201591,3
534,65081458,1
786,42232481,4
522,12150665,3
522,7235600,1
534,32238981,2
486,12488724,1
522,85205712,2
786,7925568,3
534,8348762,3
510,5222185,2
522,75463284,2
712,15409904,3
492,84592297,1
462,98400694,2
522,36839571,2
712,45265831,2
486,12547602,3
786,10258708,3
712,77603443,2
522,74911301,1
510,6739525,1
522,13070544,4
510,12491045,1
786,9391101,3
510,67755007,1
462,61898421,2
534,42232481,2
486,36741151,1
786,73044122,2
510,16133496,3
712,90984519,2
33,83735798,2
510,69043121,1
712,68058194,2
522,10127578,4
510,7541920,2
522,9943235,2
522,5563439,2
486,11435612,1
786,81434692,3
534,13148373,3
492,68221676,2
522,43957041,2
486,21838201,1
510,70463099,1
712,9476033,2
534,4343780,2
522,17084042,1
786,79535742,3
486,15825404,2
522,8431767,2
712,18172952,2
462,70625832,3
522,88026203,2
786,16015457,3
522,10287363,2
786,8979556,3
492,42415611,2
534,14556837,1
522,16256608,2
534,3302777,1
486,5344097,2
522,62392492,2
786,90543131,1
785,89106253,2
462,83504220,3
786,94636848,2
486,90546071,2
534,74512312,1
786,8348762,4
486,75265469,2
785,65081458,1
534,82445156,1
492,76068551,1
462,12491045,3
486,8855569,1
786,60987641,1
534,78580184,4
786,72277601,3
534,23190261,4
785,71173042,1
786,14663882,2
534,3338125,3
486,11790246,2
462,12561291,3
492,16995428,2
785,65989449,3
712,6422598,2
486,78349466,1
534,66268564,3
534,78745107,2
486,16744376,2
462,70870518,3
492,92169736,1
786,60741126,4
785,67427521,2
712,63264439,2
534,9779570,2
534,66295263,4
486,86514651,1
786,1364404,2
462,17801250,4
786,16162722,2
534,90727095,1
712,1863914,2
786,70294292,1
486,8431767,3
786,65802069,1
712,71578197,2
486,84922427,1
786,16033869,3
712,55629131,2
785,7747321,3
462,4156841,3
786,16169324,4
492,12220488,1
486,16053451,3
786,9100736,2
486,11102580,3
462,71752391,3
492,84208593,1
712,71100142,2
486,73214241,1
510,73691383,1
712,91412514,1
486,84538015,1
510,15136498,2
486,68071549,2
786,4678105,3
510,53471471,1
492,71586056,1
786,82550184,3
510,7888115,1
486,5667620,3
510,9188742,1
486,63883063,1
786,7695006,1
785,57719221,4
510,3464299,1
486,17801250,1
492,74591612,1
786,74583904,1
534,82027610,1
510,64330503,3
462,61452968,3
786,61582313,1
534,4729155,4
486,7584125,1
712,69920682,3
712,74457421,2
510,90256929,1
785,11856914,2
712,47057261,2
786,12547602,3
486,76503289,1
534,81038580,2
510,9088995,1
786,20595241,2
462,13679251,1
534,73363564,3
534,84208593,1
786,74805689,1
534,76572516,2
785,5726259,2
486,53471471,2
534,16329637,3
786,68288613,3
462,1364404,2
786,69618629,3
534,9159424,1
729,66181073,2
534,59858331,2
462,81306288,3
729,2484112,1
510,82027610,1
729,11331629,3
786,82138970,3
510,70405744,1
510,78171374,1
534,91539098,2
462,78153059,3
510,17410069,1
786,78041957,1
785,1711270,2
786,78153059,4
510,17801250,1
486,2484112,1
729,78315219,4
510,18161074,1
786,80593378,2
486,15735462,1
510,64322720,1
743,73626918,1
786,46822571,2
486,75943787,4
462,74326190,2
743,6271760,1
786,72033090,3
510,56050751,1
486,11433264,1
743,82492738,2
786,17801250,3
729,1286176,2
712,65503200,3
743,4927984,1
510,70292834,4
486,76993066,1
786,41112091,2
729,78405037,3
743,74035232,1
492,861187,2
97,71708675,2
712,9103959,2
510,79962226,1
462,76455835,1
743,46822571,1
486,78361807,1
729,55629131,3
712,62945228,2
492,2609199,2
97,67785320,1
785,88385813,2
97,62188697,2
786,59858331,1
462,81024170,2
486,90984519,4
786,2957577,1
743,86547763,1
486,73687753,1
510,82264336,1
785,65018773,1
486,5726259,1
510,72482166,1
729,17801250,2
492,69180862,2
743,83888799,1
534,72759996,3
712,11277493,3
510,22299021,3
785,67976638,1
729,10752377,1
462,6344074,2
743,83204020,2
534,50929511,2
534,4841406,2
510,9420701,2
712,11433264,2
534,1286176,2
743,2410091,4
510,79063887,1
486,4257083,2
492,89106253,2
510,73203277,1
729,10287363,1
785,78580184,2
534,65838489,4
534,45730161,3
510,89911461,1
785,72070691,3
462,1243656,2
729,16053451,1
486,21926321,1
534,73687753,1
492,64384132,3
712,3275927,2
743,73914717,1
729,16435287,3
534,63920967,2
743,73399731,2
486,71938672,1
462,70761560,3
510,11640186,1
534,80619478,2
743,2287585,2
534,66947315,2
743,73882686,1
486,73638064,2
729,92125584,1
743,63776202,2
712,13685758,3
462,80619478,3
510,23172981,1
486,62019639,2
510,9472834,1
492,70294292,1
462,63264439,3
712,11016852,2
729,2840362,1
492,82492738,1
486,7541920,2
534,70744165,3
729,73638064,3
534,15136498,2
785,4940699,3
486,84085449,1
462,41773241,3
729,17410069,2
534,7784560,2
712,90256929,2
534,64550046,2
492,56930031,1
486,84986265,4
462,17380488,3
486,14012408,2
534,86255145,3
712,71350313,2
492,69551279,1
534,18167172,2
462,91217118,3
486,23724351,2
534,9176639,3
206,4954825,4
743,84986265,2
534,83888799,2
492,66320486,2
206,33456271,1
729,43430201,1
534,89850847,3
462,86744433,3
486,5147891,1
743,70769431,1
729,73363564,2
785,78530149,3
534,16256608,3
206,71578197,3
743,9391101,2
486,16082575,1
206,73675971,1
206,8642307,1
743,74709640,1
729,69035594,1
743,14012408,2
486,11277493,1
462,536440,3
206,4313595,3
785,10319874,4
492,89414147,2
206,63514338,2
743,69992142,4
729,68288613,1
785,91917646,3
206,70743428,2
206,23724351,4
206,88026203,4
801,16053451,1
743,4157260,2
486,79345729,1
743,52503871,3
534,71152082,2
534,14147479,1
492,91917646,2
729,59454851,2
462,89454833,3
534,69794865,1
729,16498595,1
534,69035594,3
785,82900774,3
801,74571723,2
217,1400070,3
729,64550046,1
801,66213996,2
510,1364404,1
801,84039329,2
785,84538015,2
801,4675615,1
510,67653031,1
486,80877874,2
492,73044122,1
510,9114730,1
801,16748714,2
217,91940648,3
462,75286204,3
510,14147479,2
534,4119245,1
217,75764632,3
206,74326190,3
486,60850009,2
534,7524272,4
217,64706999,3
462,68288613,3
510,72783014,2
729,79345729,1
801,83888799,3
206,76455835,2
510,63423553,3
729,66237014,3
206,17801250,2
534,76993066,1
801,2957577,1
510,11335416,1
217,29177071,3
534,9331740,1
486,9391101,2
729,77158575,3
785,15232718,2
217,71603224,4
206,12488724,1
534,23724351,2
217,13679251,3
510,90146311,1
486,17587494,2
206,75943787,3
729,84592297,1
217,15036397,3
510,11016852,1
534,16762601,1
729,65954048,3
217,69990343,3
801,69425079,2
462,68788868,3
785,3473230,1
486,72071167,1
308,3666919,1
743,76372266,3
729,74625078,1
206,8422045,1
206,61776943,4
785,4524232,4
801,82938704,3
462,85540098,3
743,9240886,2
217,74476228,3
743,72461447,2
217,76551964,3
486,10041539,2
729,67653031,4
217,89623327,3
462,14510923,3
217,64422296,3
486,77603443,1
785,61210275,3
743,15676309,2
217,2287585,3
217,68325218,3
308,75296739,2
217,70135318,3
486,11602496,2
217,56047801,3
206,5999869,2
217,10343177,3
729,75696425,1
462,63883063,3
785,75419623,2
217,14954817,3
486,78671626,1
206,66947315,2
729,62297140,1
486,77329649,1
743,5726259,3
785,75463284,3
801,10188258,2
217,90546071,3
217,71173042,3
801,65018773,1
743,75372277,3
486,772894,1
217,63590356,3
308,56047801,1
217,70870518,3
729,84707419,1
217,73203277,3
217,53801451,3
801,61256514,2
486,64169643,1
308,4156841,1
743,16053451,4
785,7107386,3
729,4927984,3
486,74396670,1
801,38095111,1
217,56552931,3
217,66295263,3
729,74984635,1
801,7888115,1
217,66241687,3
801,75764632,1
486,91917646,3
729,83628768,1
743,67687597,3
801,56552931,2
729,10466925,1
308,936457,1
486,18172952,2
743,60878713,1
801,7925568,3
743,81863242,2
729,66241687,2
217,15123380,3
743,87813009,1
801,8478319,1
486,85884367,1
801,8750746,3
785,14012408,3
729,6081186,1
743,12220488,2
729,74571723,1
486,74476228,4
743,53349101,1
217,7561859,3
801,82900774,2
308,5384567,2
217,63992344,3
729,39955981,2
743,10206502,1
801,67976638,2
217,76375991,3
729,87623241,1
486,6898773,1
801,23527011,1
743,68068261,1
217,61080156,3
308,64230569,3
217,70366909,3
801,73549639,1
486,2840362,1
729,38095111,1
743,11856914,1
217,4940699,3
801,4940699,2
729,2693105,1
217,76570826,3
486,4096104,1
801,3369711,1
217,11856914,3
801,13085516,1
743,88991703,2
217,2030307,3
743,84582213,1
801,75479128,2
729,6991004,3
743,67976638,1
217,74571723,3
743,70625832,2
217,75575521,3
486,88593241,1
729,3275927,1
801,60886698,1
217,60797755,3
743,70977719,3
486,80593378,2
217,61210275,3
801,67467804,2
217,28073371,3
729,1103326,1
217,94436884,3
486,5375255,1
217,89850847,3
801,73201591,3
729,72071167,1
217,74710553,3
217,68288613,3
801,70312948,2
743,73675971,1
486,12150665,2
217,74709640,3
743,80455166,1
729,5826100,1
743,8642307,1
801,53349101,3
217,65081458,3
729,72070691,1
743,77699618,1
217,50405761,3
217,17410069,3
801,68325218,1
217,8979556,3
729,92169736,1
801,61210275,3
217,16287865,3
729,68325218,1
217,10466925,3
486,70563713,4
165,67976638,1
801,73205697,1
729,8419426,1
217,66893259,3
462,14757686,1
165,2926402,2
801,10258708,2
165,81956284,3
486,64699288,1
217,56050751,3
217,80947484,3
801,66295263,3
729,7946793,2
217,84768993,3
165,4675615,1
486,85017611,2
462,71764550,3
801,77014514,2
729,53489001,1
165,67582502,1
217,76068551,3
801,64580001,2
486,71578197,3
743,64580001,1
217,13014284,3
165,75517415,1
217,61139071,3
217,10524260,3
486,64550046,2
801,6898773,1
217,67785320,3
217,13085516,3
743,10524260,1
801,6862149,3
486,69733434,1
729,71614478,2
217,86262325,3
743,89233599,1
165,81608188,2
217,2481288,3
743,11602496,1
801,61080156,1
165,13382403,1
462,74710553,3
217,17270322,3
801,68965877,1
729,80947484,1
217,89454833,3
743,66268564,2
165,17605922,1
801,16397274,1
729,66755681,2
462,72875132,3
165,63920967,2
743,91940648,2
801,78745107,1
486,16960561,2
308,10258708,3
217,73914717,3
217,78867449,3
801,11640186,1
217,90075069,3
165,82492738,1
217,77244359,3
801,72461447,2
729,70608592,2
486,94436884,1
165,7695006,1
743,69292911,1
217,1702066,3
217,33357171,3
743,9176639,2
801,1243656,2
462,2555176,2
486,83888799,1
217,64330503,3
165,60878713,1
729,67839834,3
801,89056103,3
743,16762601,4
217,85324704,3
165,43430201,2
97,72581182,3
801,69992142,2
217,90146311,3
217,69501553,3
743,72718191,2
165,70135318,3
97,7235600,2
729,5563439,2
743,86307237,1
801,2560749,2
217,92125584,3
165,66295263,1
217,39955981,3
801,2926402,2
743,4517211,2
462,88991703,3
729,73246025,1
801,76423928,1
165,75131988,2
97,8979556,3
165,65845323,1
801,83504220,2
729,69733434,3
801,68780748,2
165,73044122,1
486,8599257,2
217,68071549,3
743,85051554,1
801,67427521,1
729,71764550,4
217,78041957,3
743,69818709,1
217,5466246,3
97,14047278,1
801,52147611,1
743,72269660,2
97,2957577,3
729,5775938,1
801,13176911,1
743,70586395,2
217,74984635,3
743,60776064,1
217,4524232,3
165,7444285,1
217,8647650,3
97,66295263,2
729,74805689,4
165,82550184,1
743,10752377,1
801,12668977,2
217,3275927,3
165,82925846,1
462,73214241,2
97,78278329,2
165,75265469,1
486,62297140,2
801,2057449,2
217,73994908,3
462,6132153,4
165,6132153,2
801,65503200,1
743,70563713,4
217,88593241,3
486,78171374,2
217,65850520,3
165,6405162,1
801,64699288,1
712,68825735,2
165,3407958,1
486,66685987,2
743,91412514,1
801,54767811,2
687,87045823,3
217,65126194,3
217,67429227,3
712,84538015,1
165,81024170,1
308,16201983,2
510,60741126,4
801,4927984,1
217,76401318,3
729,65483312,3
801,50929511,2
510,86452109,1
743,7880174,3
486,3407958,1
687,78074950,2
97,6271760,2
801,18161074,2
743,17801250,1
510,72759996,1
165,936457,1
743,43957041,1
801,78907413,2
729,75401504,2
712,61582313,2
486,65126194,2
165,10319874,1
510,4189327,1
743,16287865,1
462,37563911,1
97,10127578,3
729,82900774,3
486,66676859,1
712,9883417,1
687,3407958,2
462,73246025,4
308,75372277,2
510,15100914,1
801,74805689,3
217,63676154,3
743,72935484,1
97,92169736,2
510,16287865,1
486,13382403,1
165,74863964,2
801,61776943,2
729,72581182,3
743,4343780,2
687,14757686,1
486,18167172,1
165,5563439,3
97,11277493,3
510,71972153,1
801,76551964,2
165,91217118,3
510,70769431,1
712,62264016,3
743,11173693,1
217,10319874,3
165,91011063,1
801,73184322,2
729,62315343,3
687,84063179,2
100,14538246,4
743,2030307,1
97,12488724,2
462,62228580,2
510,2159153,1
743,68058194,1
165,41112091,1
801,87045823,2
687,60797755,3
486,74770835,1
743,13679251,2
510,67589109,2
97,84063179,1
801,72033090,1
462,53349101,1
165,1805436,2
729,91108501,1
217,14663882,3
801,64330503,2
486,65954048,2
308,78436103,2
217,62392492,3
687,78158755,2
97,2704335,2
729,74951498,1
743,75401504,1
801,70411902,2
165,89414147,3
743,89106253,1
729,90543131,4
801,68267799,2
165,64169643,1
308,7682490,1
801,46725701,2
743,64200398,1
97,526229,2
801,9472834,3
687,6250190,1
743,14320658,2
97,65954048,2
100,78695208,3
712,64169643,2
462,79063887,2
165,70563713,3
801,18167172,1
97,72875132,2
743,77355543,1
165,84986265,2
462,73853929,3
801,76068551,2
687,64126400,1
729,69292911,3
801,78867449,2
712,63676154,1
687,64580001,1
743,3464299,1
165,14147479,1
729,69562013,3
712,56939851,2
801,14603033,1
308,67619943,2
801,64962419,2
743,16329637,1
801,62228580,1
729,6829354,1
100,67552090,3
801,70135318,1
165,75549879,1
743,67589109,1
743,47057261,2
165,20370431,1
801,31102171,3
712,75735062,2
308,73549639,2
165,15100914,1
743,82938704,1
462,46510391,3
165,55629131,1
165,82445156,3
801,71603224,3
100,5826100,1
743,73201591,1
801,15676309,2
743,93868746,2
165,15792789,1
801,62392492,2
743,79177655,1
743,8426856,1
100,73388496,2
462,1400070,3
743,16622424,2
165,14012408,2
308,3411439,2
165,80619478,1
165,84922427,1
687,6422598,3
462,67744137,3
100,64813415,3
743,6521475,4
743,69841660,3
801,774905,2
729,81246014,3
687,74571723,2
801,2557026,2
743,28073371,2
165,67755007,1
743,6344074,1
801,63720689,2
308,75943787,2
462,15232718,3
801,78074950,1
165,25580011,1
801,5632174,1
620,69614247,2
100,12491045,2
620,12491045,3
165,1589044,1
801,2586286,2
687,14150982,2
801,67582502,2
165,96246640,1
620,9188742,4
687,61339484,3
620,17217573,1
165,73203277,1
801,65838489,2
620,61076942,2
165,78461516,1
620,17489120,2
801,75286204,3
100,4841406,3
165,72032570,1
165,66893259,3
801,37934501,1
308,12697219,2
165,61210275,2
462,3407958,3
620,526229,1
729,83355578,2
